Date,Description,Category,Amount,Type
28-11-2018,Paratha Lunch,OutsideFood,55,Debit
29-11-2018,Cab to Secundarabad station,Transport,270,Debit
30-11-2018,BOB Education Loan Recovery,DebtRepay,3900,Debit
30-11-2018,Salary Credited,Paycheck,35676,Credit
30-11-2018,Non Salary Benefits,Paycheck,6675,Credit
30-11-2018,EPF Employer,Investment,2040,Debit
30-11-2018,EPF Employee,Investment,2040,Debit
30-11-2018,Professional Tax (State),TaxAndFees,200,Debit
30-11-2018,Gratuity,Investment,818,Debit
30-11-2018,Medical Insurance Employer,Insurance,1577,Debit
,,,,
02-12-2018,Hotel Additional Payment Puri,Family,950,Debit
02-12-2018,Candle Night Dinner Mum Dad,Family,1800,Debit
02-12-2018,Oyo Room Bhubaneshwar,Family,1000,Debit
02-12-2018,Ola cab puri,Transport,115,Debit
02-12-2018,Ola cab puri,Transport,80,Debit
03-12-2018,Auto,Transport,10,Debit
03-12-2018,Haircut,Self,100,Debit
03-12-2018,Maid C310,Utilities,500,Debit
03-12-2018,Water C310,Utilities,200,Debit
03-12-2018,Dosa,OutsideFood,35,Debit
03-12-2018,Dosa for Bharg,Friends,35,Debit
03-12-2018,Rapido,Transport,48,Debit
04-12-2018,Tatasky Recharge,Utilities,300,Debit
04-12-2018,Daily needs - soap etc.,DailyNeeds,150,Debit
04-12-2018,Swiggy Chole Bhature,OutsideFood,64,Debit
04-12-2018,Rapido,Transport,50,Debit
04-12-2018,Auto,Transport,10,Debit
05-12-2018,Auto,Transport,10,Debit
05-12-2018,Rapido,Transport,50,Debit
05-12-2018,Lunch office,OutsideFood,70,Debit
06-12-2018,Banana Chips,Snacks,75,Debit
06-12-2018,Rapido,Transport,70,Debit
06-12-2018,Rapido,Transport,50,Debit
06-12-2018,Amish Burger King,Friends,200,Debit
07-12-2018,Rapido pass,Transport,49,Debit
08-12-2018,Swiggy chole,OutsideFood,65,Debit
08-12-2018,Feviquick,DailyNeeds,10,Debit
08-12-2018,"Chips, snacks",Snacks,55,Debit
08-12-2018,To Arshita,Friends,50,Debit
08-12-2018,Tea,Snacks,10,Debit
09-12-2018,Furlenco Furniture,Utilities,1500,Debit
09-12-2018,Swiggy,OutsideFood,98,Debit
09-12-2018,Swiggy,OutsideFood,76,Debit
09-12-2018,Auto,Transport,20,Debit
09-12-2018,Vodafone Recharge,Utilities,35,Debit
09-12-2018,Lunch,OutsideFood,70,Debit
11-12-2018,Banana,Grocery,20,Debit
11-12-2018,Wifi C310,Utilities,400,Debit
11-12-2018,Chips,Snacks,15,Debit
11-12-2018,Auto,Transport,10,Debit
11-12-2018,Rapido,Transport,36,Debit
11-12-2018,Lunch,OutsideFood,55,Debit
12-12-2018,Rapido,Transport,37,Debit
12-12-2018,Lunch,OutsideFood,55,Debit
12-12-2018,Auto,Transport,10,Debit
13-12-2018,Lunch,OutsideFood,55,Debit
13-12-2018,Banana,Grocery,30,Debit
13-12-2018,Rapido,Transport,37,Debit
13-12-2018,Auto,Transport,10,Debit
13-12-2018,Icecream,Snacks,20,Debit
13-12-2018,Moongfali,Grocery,86,Debit
14-12-2018,Rapido,Transport,70,Debit
14-12-2018,Rapido,Transport,23,Debit
14-12-2018,Food Hungerbox,OutsideFood,20,Debit
14-12-2018,Lunch Hungerbox,OutsideFood,55,Debit
15-12-2018,APY Contribution,Investment,248,Debit
15-12-2018,Water C310,Utilities,100,Debit
15-12-2018,Swiggy,OutsideFood,166,Debit
15-12-2018,Swiggy,OutsideFood,100,Debit
16-12-2018,Auto,Transport,10,Debit
16-12-2018,Pizza Dominos,OutsideFood,200,Debit
16-12-2018,Zomato Lunch,OutsideFood,150,Debit
16-12-2018,Rapido,Transport,30,Debit
17-12-2018,Auto,Transport,10,Debit
17-12-2018,Lunch Hungerbox,OutsideFood,55,Debit
